id,client_name,reason,billing,model,customization,equipment_number,problem_type,photos,treatment,status,date_completed,image_paths
1,GFL,Manutenção,Sem custo,GS 410,Termo branco,109833482,Sem problemas identificados,,Sem problemas identificados,Aprovado pela diretoria,17/05/2024 09:20,"[""C:\\Sistema InteGS\\static\\uploads\\109833482.jpeg""]"
2,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco,109880939,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:19,"[""C:\\Sistema InteGS\\static\\uploads\\109880939.jpeg""]"
3,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109880970,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:20,"[""C:\\Sistema InteGS\\static\\uploads\\109880970.jpeg""]"
4,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109880970,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:20,"[""C:\\Sistema InteGS\\static\\uploads\\109880970.jpeg""]"
5,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109881007,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:28,"[""C:\\Sistema InteGS\\static\\uploads\\109881007.jpeg""]"
6,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109881247,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:29,"[""C:\\Sistema InteGS\\static\\uploads\\109881247.jpeg""]"
7,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883525,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:30,"[""C:\\Sistema InteGS\\static\\uploads\\109883525.jpeg""]"
8,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883540,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:31,"[""C:\\Sistema InteGS\\static\\uploads\\109883540.jpeg""]"
9,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109881303,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:31,"[""C:\\Sistema InteGS\\static\\uploads\\109881303.jpeg""]"
10,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883712,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:45,"[""C:\\Sistema InteGS\\static\\uploads\\109883712.jpeg""]"
11,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109880980,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 11:45,"[""C:\\Sistema InteGS\\static\\uploads\\109880980..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109880980.jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\1098809807..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\1098809807.jpeg""]"
12,Mika Transportes,Devolução/Estoque,Com custo,GL33,Termo branco,60377168,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:04,"[""C:\\Sistema InteGS\\static\\uploads\\60377168.jpeg""]"
13,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883716,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:05,"[""C:\\Sistema InteGS\\static\\uploads\\109883716.jpeg""]"
14,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883608,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:05,"[""C:\\Sistema InteGS\\static\\uploads\\109883608.jpeg""]"
15,Mika Transportes,Devolução/Estoque,Com custo,GS 410,Termo branco + imã,109880999,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:06,"[""C:\\Sistema InteGS\\static\\uploads\\109880999.jpeg""]"
16,Mika Transportes,Devolução/Estoque,Sem custo,GL33,Termo branco,60280941,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:06,"[""C:\\Sistema InteGS\\static\\uploads\\60280941.jpeg""]"
17,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109881004,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:07,"[""C:\\Sistema InteGS\\static\\uploads\\109881004.jpeg""]"
18,Mika Transportes,Devolução/Estoque,Com custo,GS 410,Termo branco + imã,109880987,Placa danificada,,Placa danificada,Aprovado,17/05/2024 12:14,"[""C:\\Sistema InteGS\\static\\uploads\\109880987..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109880987.jpeg""]"
19,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883713,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:15,"[""C:\\Sistema InteGS\\static\\uploads\\109883713.jpeg""]"
20,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109882259,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:15,"[""C:\\Sistema InteGS\\static\\uploads\\109882259.jpeg""]"
21,Mika Transportes,Devolução/Estoque,Sem custo,GL33,Termo branco,60284125,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:17,"[""C:\\Sistema InteGS\\static\\uploads\\60284125.jpeg""]"
22,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883569,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:18,"[""C:\\Sistema InteGS\\static\\uploads\\109883569.jpeg""]"
23,Mika Transportes,Devolução/Estoque,Sem custo,GS 410,Termo branco + imã,109883131,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 12:19,"[""C:\\Sistema InteGS\\static\\uploads\\109883131.jpeg""]"
24,Inovate apoio logistica,Manutenção,Sem custo,GS 410,Termo branco,109812590,Sem problemas identificados,,Sem problemas identificados,Aprovado,17/05/2024 15:43,"[""C:\\Sistema InteGS\\static\\uploads\\109812590.jpeg""]"
25,Luxafit Transportes,Manutenção,Com custo,GS 410,Termo branco + imã,007660878,Placa danificada,,Placa danificada,Aprovado,20/05/2024 16:23,"[""C:\\Sistema InteGS\\static\\uploads\\7660878.jpeg""]"
26,Luxafit Transportes,Manutenção,Com custo,GS 410,Termo branco + imã,007692871,Placa danificada,,Placa danificada,Aprovado,20/05/2024 16:24,"[""C:\\Sistema InteGS\\static\\uploads\\7692871..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\7692871.jpeg""]"
27,Luxafit Transportes,Manutenção,Com custo,GS 410,Termo branco + imã,007693578,Placa danificada,,Placa danificada,Aprovado,20/05/2024 16:24,"[""C:\\Sistema InteGS\\static\\uploads\\7693578.jpeg""]"
28,Luxafit Transportes,Manutenção,Com custo,GS 410,Termo branco + imã,109816247,Botão de acionamento danificado,,Botão de acionamento danificado,Aprovado,20/05/2024 16:25,"[""C:\\Sistema InteGS\\static\\uploads\\109816247..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109816247.jpeg""]"
29,Fw transportes,Manutenção,Com custo,GS 410,Termo branco + imã,109859266,Oxidação,,Oxidação,Aprovado,21/05/2024 08:43,"[""C:\\Sistema InteGS\\static\\uploads\\109859266..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109859266.jpeg""]"
30,Bendini,Manutenção,Com custo,GS 410,Termo branco + imã,109763430,Placa danificada,,Placa danificada,Aprovado,21/05/2024 09:07,"[""C:\\Sistema InteGS\\static\\uploads\\109763430..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109763430.jpeg""]"
31,Bendini,Manutenção,Com custo,GS 410,Termo branco + imã,109792448,Placa danificada,,Placa danificada,Aprovado,21/05/2024 09:08,"[""C:\\Sistema InteGS\\static\\uploads\\109792448.jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109792448..jpeg""]"
32,Bendini,Manutenção,Sem custo,GS 410,Termo branco + imã,109801204,Sem problemas identificados,,Sem problemas identificados,Aprovado pela diretoria,21/05/2024 09:09,"[""C:\\Sistema InteGS\\static\\uploads\\109801204.jpeg""]"
33,Bendini,Manutenção,Sem custo,GS 410,Termo branco + imã,109858821,Sem problemas identificados,,Sem problemas identificados,Aprovado,21/05/2024 09:09,"[""C:\\Sistema InteGS\\static\\uploads\\109858821.jpeg""]"
34,TRD,Manutenção,Com custo,GS 419,Termo branco,807135872,Placa danificada,,Placa danificada,Aprovado,21/05/2024 09:19,"[""C:\\Sistema InteGS\\static\\uploads\\807135872.jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\807135872..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\807135872.jpeg""]"
35,Phoneix ,Devolução/Estoque,Com custo,GS 410,Termo branco,109766256,Placa danificada,,Placa danificada,Aprovado,21/05/2024 09:32,"[""C:\\Sistema InteGS\\static\\uploads\\109766256..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109766256.jpeg""]"
36,Phoneix ,Devolução/Estoque,Com custo,GS 410,Termo branco,109766256,Placa danificada,,Placa danificada,Aprovado,21/05/2024 09:32,"[""C:\\Sistema InteGS\\static\\uploads\\109766256..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109766256.jpeg""]"
37,Phoneix ,Manutenção,Sem custo,GS 410,Termo branco,109765747,Placa danificada,,Placa danificada,Aprovado,21/05/2024 09:35,"[""C:\\Sistema InteGS\\static\\uploads\\109765747.jpeg""]"
38,Unixlog,Manutenção,Com custo,GS 410,Termo branco,109847364,Placa danificada,,Placa danificada,Aprovado,21/05/2024 11:37,"[""C:\\Sistema InteGS\\static\\uploads\\109847364..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109847364.jpeg""]"
39,Avalon cargo,Manutenção,Com custo,GS 419 (LoRa),Termo branco + imã,807136193,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,23/05/2024 08:40,"[""C:\\Sistema InteGS\\static\\uploads\\807136193..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\807136193.jpeg""]"
40,Avalon cargo,Manutenção,Com custo,GS 419 (LoRa),Termo branco,807126287,Oxidação,,Oxidação,Aprovado,23/05/2024 08:41,"[""C:\\Sistema InteGS\\static\\uploads\\807126287.jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\807126287..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\807126287.jpeg""]"
41,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,007682267,Placa danificada,,Placa danificada,Aprovado,24/05/2024 10:44,"[""C:\\Sistema InteGS\\static\\uploads\\007682267.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\007682267..jpg""]"
42,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,109762775,Oxidação,,Oxidação,Aprovado,24/05/2024 10:45,"[""C:\\Sistema InteGS\\static\\uploads\\109762775.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109762775..jpg""]"
43,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,109765484,Oxidação,,Oxidação,Aprovado,24/05/2024 10:46,"[""C:\\Sistema InteGS\\static\\uploads\\109765484.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109765484..jpg""]"
44,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,109765808,Oxidação,,Oxidação,Aprovado,24/05/2024 10:46,"[""C:\\Sistema InteGS\\static\\uploads\\109765808.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109765808..jpg""]"
45,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,109765984,Placa danificada,,Placa danificada,Aprovado,24/05/2024 10:48,"[""C:\\Sistema InteGS\\static\\uploads\\109765984..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109765984.jpg""]"
46,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,109797631,Botão de acionamento danificado,,Botão de acionamento danificado,Aprovado,24/05/2024 10:49,"[""C:\\Sistema InteGS\\static\\uploads\\109797631.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109797631..jpg""]"
47,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,109800862,Oxidação,,Oxidação,Aprovado,24/05/2024 10:51,"[""C:\\Sistema InteGS\\static\\uploads\\109800862..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109800862.jpg""]"
48,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,109813762,Oxidação,,Oxidação,Aprovado,24/05/2024 10:54,"[""C:\\Sistema InteGS\\static\\uploads\\109813762..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109813762.jpg""]"
49,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,109823288,Placa danificada,,Placa danificada,Aprovado,24/05/2024 10:55,"[""C:\\Sistema InteGS\\static\\uploads\\109823288.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109823288..jpg""]"
50,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,109846155,Placa danificada,,Placa danificada,Aprovado,24/05/2024 10:56,"[""C:\\Sistema InteGS\\static\\uploads\\109846155.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109846155..jpg""]"
51,ABC - Cargas,Manutenção,Com custo,GS 410,Termo preto + imã,511395617,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,24/05/2024 10:56,"[""C:\\Sistema InteGS\\static\\uploads\\511395617.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\511395617..jpg""]"
52,ABC - Cargas,Manutenção,Com custo,GS 419 (LoRa),Termo preto + imã,511396057,Oxidação,,Oxidação,Aprovado,24/05/2024 10:57,"[""C:\\Sistema InteGS\\static\\uploads\\511396057.jpg""]"
53,ABC - Cargas,Manutenção,Com custo,GS 419 (LoRa),Termo preto + imã,511489912,Oxidação,,Oxidação,Aprovado,24/05/2024 11:00,"[""C:\\Sistema InteGS\\static\\uploads\\511489912.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\511489912..jpg""]"
54,ABC - Cargas,Manutenção,Com custo,GS 419 (LoRa),Termo preto + imã,511542466,Placa danificada,,Placa danificada,Aprovado,24/05/2024 11:01,"[""C:\\Sistema InteGS\\static\\uploads\\511542466..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\511542466.jpg""]"
55,ABC - Cargas,Manutenção,Com custo,GS 419 (LoRa),Termo preto + imã,511693560,Placa danificada,,Placa danificada,Aprovado,24/05/2024 11:04,"[""C:\\Sistema InteGS\\static\\uploads\\511693560..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\511693560.jpg""]"
56,ABC - Cargas,Manutenção,Com custo,GS 419 (LoRa),Termo preto + imã,807136432,Placa danificada,,Placa danificada,Aprovado,24/05/2024 11:06,"[""C:\\Sistema InteGS\\static\\uploads\\807136432.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807136432..jpg""]"
