id,client_name,reason,billing,model,customization,equipment_number,problem_type,photos,treatment,status,date_completed,image_paths
57,Santos transportes,Manutenção,Com custo,GS 410,Termo preto + imã,109789103,Botão de acionamento danificado,,Botão de acionamento danificado,Aprovado,24/05/2024 14:06,"[""C:\\Sistema InteGS\\static\\uploads\\109789103..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109789103.jpeg""]"
58,VS Transportes ,Manutenção,Com custo,GS 410,Termo preto + imã,109834087,Oxidação,,Oxidação,Aprovado,24/05/2024 14:12,"[""C:\\Sistema InteGS\\static\\uploads\\109834087..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109834087.jpeg""]"
59,VS Transportes ,Manutenção,Com custo,GS 410,Termo branco + imã,109841266,Placa danificada,,Placa danificada,Aprovado,24/05/2024 14:38,"[""C:\\Sistema InteGS\\static\\uploads\\109841266.jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109841266..jpeg""]"
60,VS Transportes ,Manutenção,Com custo,GS 410,Termo branco + imã,109863797,Oxidação,,Oxidação,Aprovado,24/05/2024 14:38,"[""C:\\Sistema InteGS\\static\\uploads\\109863797..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109863797.jpeg""]"
61,Prysmian - Poço de caldas,Manutenção,Com custo,GS 419 (LoRa),Termo branco,511560181,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,24/05/2024 15:09,"[""C:\\Sistema InteGS\\static\\uploads\\511560181..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\511560181.jpeg""]"
62,Prysmian - Poço de caldas,Manutenção,Sem custo,GS 419 (LoRa),Termo branco,511594594,Sem problemas identificados,,Sem problemas identificados,Aprovado,24/05/2024 15:10,"[""C:\\Sistema InteGS\\static\\uploads\\511594594.jpeg""]"
63,Prysmian - Poço de caldas,Manutenção,Com custo,GS 419 (LoRa),Termo branco,511594970,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,24/05/2024 15:11,"[""C:\\Sistema InteGS\\static\\uploads\\511594970..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\511594970.jpeg""]"
64,Andreani,Manutenção,Sem custo,GS 419 (LoRa),Termo branco,511192815,Placa danificada sem custo,,Placa danificada,Enviado à diretoria,27/05/2024 09:25,"[""C:\\Sistema InteGS\\static\\uploads\\51192815.jpeg""]"
65,Fw transportes,Manutenção,Com custo,GS 410,Termo branco + imã,109884036,USB danificado,,USB danificado,Aprovado,27/05/2024 16:16,"[""C:\\Sistema InteGS\\static\\uploads\\109884036.jpeg""]"
66,Apple,Devolução/Estoque,Com custo,GS 410,Termo Branco Slim + dupla face,109777576,Placa danificada sem custo,,Placa danificada,Aprovado,29/05/2024 09:06,"[""C:\\Sistema InteGS\\static\\uploads\\109777576.jpeg""]"
67,Apple,Manutenção,Com custo,GS 410,Termo Branco Slim + dupla face,109788935,Botão de acionamento danificado,,Botão de acionamento danificado,Editado,29/05/2024 09:07,"[""C:\\Sistema InteGS\\static\\uploads\\109788935..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109788935.jpeg""]"
68,Alamo ,Manutenção,Com custo,GS 410,Termo branco + imã,007649972,Botão de acionamento danificado,,Botão de acionamento danificado,Aprovado,29/05/2024 09:23,"[""C:\\Sistema InteGS\\static\\uploads\\007649972..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\007649972.jpeg""]"
69,Marajá transportes,Devolução/Estoque,Com custo,GS 419 (LoRa),Termo branco,511851360,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,29/05/2024 09:51,"[""C:\\Sistema InteGS\\static\\uploads\\511851360....jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\511851360..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\511851360.jpeg""]"
70,Marajá transportes,Avaliação e estoque,Sem custo,GS 410,Termo branco,109782535,Sem problemas identificados,,Sem problemas identificados,Aprovado,29/05/2024 10:07,"[""C:\\Sistema InteGS\\static\\uploads\\109782535.jpeg""]"
71,Autoport,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo preto + imã,807270243,Oxidação,,Oxidação,Rejeitado,29/05/2024 15:50,"[""C:\\Sistema InteGS\\static\\uploads\\807270243...jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807270243.jpeg""]"
72,Autoport,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo preto + imã,807270243,Oxidação,,Oxidação,Rejeitado,29/05/2024 15:51,"[""C:\\Sistema InteGS\\static\\uploads\\807270243...jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807270243.jpeg""]"
73,Autoport,Devolução/Estoque,Com custo,GS 419 (LoRa),Termo preto + imã,807270833,Oxidação,,Oxidação,Rejeitado,29/05/2024 15:52,"[""C:\\Sistema InteGS\\static\\uploads\\807270833..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807270833.jpg""]"
74,Autoport,Devolução/Estoque,Com custo,GS 419 (LoRa),Termo preto + imã,807270870,Oxidação,,Oxidação,Rejeitado,29/05/2024 15:55,"[""C:\\Sistema InteGS\\static\\uploads\\807270870..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807270870.jpg""]"
75,Autoport,Devolução/Estoque,Com custo,GS 419 (LoRa),Termo preto + imã,807270957,Oxidação,,Oxidação,Rejeitado,29/05/2024 15:55,"[""C:\\Sistema InteGS\\static\\uploads\\807270957.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807270957..jpg""]"
76,Autoport,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo preto + imã,807271100,Oxidação,,Oxidação,Rejeitado,29/05/2024 15:57,"[""C:\\Sistema InteGS\\static\\uploads\\807271100.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807271100..jpg""]"
77,Autoport,Devolução/Estoque,Com custo,GS 419 (LoRa),Termo preto + imã,807283202,Oxidação,,Oxidação,Rejeitado,29/05/2024 15:58,"[""C:\\Sistema InteGS\\static\\uploads\\807283202..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807283202.jpg""]"
78,Autoport,Devolução/Estoque,Com custo,GS 419 (LoRa),Termo preto + imã,807283202,Oxidação,,Oxidação,Rejeitado,29/05/2024 15:58,"[""C:\\Sistema InteGS\\static\\uploads\\807283202..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807283202.jpg""]"
79,Autoport,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo preto + imã,807296784,Oxidação,,Oxidação,Rejeitado,29/05/2024 15:59,"[""C:\\Sistema InteGS\\static\\uploads\\807296784..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807296784.jpg""]"
80,Autoport,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo preto + imã,807297589,Oxidação,,Oxidação,Rejeitado,29/05/2024 16:05,"[""C:\\Sistema InteGS\\static\\uploads\\807297589..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\807297589.jpg""]"
81,Autoport,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo preto + imã,807270179,Sem problemas identificados,,Sem problemas identificados,Aprovado,29/05/2024 16:18,"[""C:\\Sistema InteGS\\static\\uploads\\807270179.jpg""]"
82,Autoport,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo preto + imã,807270257,Sem problemas identificados,,Sem problemas identificados,Aprovado,29/05/2024 16:19,"[""C:\\Sistema InteGS\\static\\uploads\\807270257.jpg""]"
83,Metta Brasil,Manutenção,Com custo,GS 419 (LoRa),Termo branco,007798844,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,03/06/2024 10:12,"[""C:\\Sistema InteGS\\static\\uploads\\007798844.jpeg""]"
84,Metta Brasil,Manutenção,Com custo,GS 419 (LoRa),Termo branco,007798860,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,03/06/2024 10:13,"[""C:\\Sistema InteGS\\static\\uploads\\007798860..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\007798860.jpeg""]"
85,Metta Brasil,Manutenção,Com custo,GS 419 (LoRa),Termo branco,511192509,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,03/06/2024 10:14,"[""C:\\Sistema InteGS\\static\\uploads\\511192509.jpeg""]"
86,Metta Brasil,Manutenção,Com custo,GS 410,Termo branco,109769052,Placa danificada,,Placa danificada,Aprovado,03/06/2024 10:18,"[""C:\\Sistema InteGS\\static\\uploads\\109769052..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109769052.jpeg""]"
87,Metta Brasil,Manutenção,Sem custo,GS 410,Termo branco,109738756,Sem problemas identificados,,Sem problemas identificados,Aprovado,03/06/2024 10:22,"[""C:\\Sistema InteGS\\static\\uploads\\109738756.jpeg""]"
88,Estrela Transportes,Manutenção,Com custo,GS 410,Termo branco + imã,007675940,Oxidação,,Oxidação,Aprovado,03/06/2024 10:24,"[""C:\\Sistema InteGS\\static\\uploads\\007675940..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\007675940.png""]"
89,Nexus,Manutenção,Com custo,GS 410,Termo branco + imã,007613035,Placa danificada,,Placa danificada,Aprovado,03/06/2024 10:25,"[""C:\\Sistema InteGS\\static\\uploads\\007613035..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\007613035.jpeg""]"
90,Nexus,Manutenção,Com custo,GS 410,Termo branco + imã,007651220,Placa danificada,,Placa danificada,Aprovado,03/06/2024 10:26,"[""C:\\Sistema InteGS\\static\\uploads\\007651220..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\007651220.jpeg""]"
91,Rodoxico,Devolução/Estoque,Com custo,GS 410,Termo branco + imã,007613680,Oxidação,,Oxidação,Aprovado,03/06/2024 10:31,"[""C:\\Sistema InteGS\\static\\uploads\\007613680..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\007613680.jpeg""]"
92,Rodoxico,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo branco + imã,511560332,Sem problemas identificados,,Sem problemas identificados,Aprovado,03/06/2024 10:45,"[""C:\\Sistema InteGS\\static\\uploads\\511560332.jpeg""]"
93,Rodoxico,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo branco + imã,511560347,Sem problemas identificados,,Sem problemas identificados,Aprovado,03/06/2024 10:45,"[""C:\\Sistema InteGS\\static\\uploads\\511560347.jpeg""]"
94,Rodoxico,Devolução/Estoque,Sem custo,GS 419 (LoRa),Termo branco + imã,511560429,Sem problemas identificados,,Sem problemas identificados,Aprovado,03/06/2024 10:48,"[""C:\\Sistema InteGS\\static\\uploads\\511560429.jpeg""]"
95,Rodoxico,Devolução/Estoque,Com custo,GS 419 (LoRa),Termo branco + imã,511560764,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,03/06/2024 10:48,"[""C:\\Sistema InteGS\\static\\uploads\\511560764.jpeg""]"
96,Rodoxico,Devolução/Estoque,Sem custo,GS 410,Termo branco,007631453,Sem problemas identificados,,Sem problemas identificados,Aprovado,03/06/2024 12:00,"[""C:\\Sistema InteGS\\static\\uploads\\007631453.jpeg""]"
97,Rodoxico,Manutenção,Sem custo,GS 410,Termo branco,007631486,Sem problemas identificados,,Sem problemas identificados,Aprovado,03/06/2024 12:01,"[""C:\\Sistema InteGS\\static\\uploads\\007631486.jpeg""]"
98,Rodoxico,Devolução/Estoque,Sem custo,GS 410,Termo branco,007631598,Sem problemas identificados,,Sem problemas identificados,Aprovado,03/06/2024 12:02,"[""C:\\Sistema InteGS\\static\\uploads\\007631598.png""]"
99,Rodoxico,Devolução/Estoque,Com custo,GS 410,Termo branco,007632807,Botão de acionamento danificado,,Botão de acionamento danificado,Aprovado,03/06/2024 12:02,"[""C:\\Sistema InteGS\\static\\uploads\\007632807..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\007632807.jpeg""]"
100,GFL - Jundiai ,Manutenção,Com custo,GS 410,Termo branco,511542105,Antena LoRa danificada,,Antena LoRa danificada,Aprovado,03/06/2024 15:47,"[""C:\\Sistema InteGS\\static\\uploads\\511542105.jpeg""]"
101,GFL - Jundiai ,Manutenção,Com custo,GS 410,Termo branco,109780777,Placa danificada,,Placa danificada,Aprovado,03/06/2024 15:48,"[""C:\\Sistema InteGS\\static\\uploads\\109780777.jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109780777.jpeg""]"
102,Edual ,Devolução/Estoque,Com custo,GS 410,Termo branco + imã,109851945,Oxidação,,Oxidação,Pendente,04/06/2024 08:17,"[""C:\\Sistema InteGS\\static\\uploads\\109851945..jpeg"", ""C:\\Sistema InteGS\\static\\uploads\\109851945.png""]"
103,Jad Log,Manutenção,Com custo,GS 410,Termo branco,109873838,Botão de acionamento danificado,,Botão de acionamento danificado,Pendente,04/06/2024 10:13,"[""C:\\Sistema InteGS\\static\\uploads\\109873838..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109873838.jpg""]"
104,Jad Log,Manutenção,Sem custo,GS 410,Termo branco,109796340,Sem problemas identificados,,Sem problemas identificados,Pendente,04/06/2024 10:14,"[""C:\\Sistema InteGS\\static\\uploads\\109796340.jpg""]"
105,Jad Log,Manutenção,Com custo,GS 410,Termo branco,109822950,Placa danificada,,Placa danificada,Pendente,04/06/2024 10:15,"[""C:\\Sistema InteGS\\static\\uploads\\109822950.jpg""]"
106,Jad Log,Manutenção,Com custo,GS 410,Termo branco,109822950,Placa danificada,,Placa danificada,Pendente,04/06/2024 10:15,"[""C:\\Sistema InteGS\\static\\uploads\\109822950.jpg""]"
107,Jad Log,Manutenção,Com custo,GS 410,Termo branco,109829683,Placa danificada,,Placa danificada,Pendente,04/06/2024 10:15,"[""C:\\Sistema InteGS\\static\\uploads\\109829683..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109829683.jpg""]"
108,Jad Log,Manutenção,Com custo,GS 410,Termo branco,109834517,Placa danificada,,Placa danificada,Pendente,04/06/2024 10:17,"[""C:\\Sistema InteGS\\static\\uploads\\109834517.jpg""]"
109,Jad Log,Manutenção,Com custo,GS 410,Termo branco,109873405,Botão de acionamento danificado,,Botão de acionamento danificado,Pendente,04/06/2024 10:17,"[""C:\\Sistema InteGS\\static\\uploads\\109873405.jpg""]"
110,Jad Log,Manutenção,Com custo,GS 410,Termo branco,109873813,Placa danificada,,Placa danificada,Pendente,04/06/2024 10:18,"[""C:\\Sistema InteGS\\static\\uploads\\109873813..jpg"", ""C:\\Sistema InteGS\\static\\uploads\\109873813.jpg""]"
111,Jad Log,Manutenção,Com custo,GS 419 (LoRa),Termo branco,511592273,Antena LoRa danificada,,Antena LoRa danificada,Pendente,04/06/2024 10:19,"[""C:\\Sistema InteGS\\static\\uploads\\511592273.jpg""]"
112,Jad Log,Manutenção,Com custo,GS 419 (LoRa),Termo branco,511625837,Antena LoRa danificada,,Antena LoRa danificada,Pendente,04/06/2024 10:19,"[""C:\\Sistema InteGS\\static\\uploads\\511625837.jpg""]"
113,Jad Log,Manutenção,Sem custo,GS 419 (LoRa),Termo branco,511625919,Sem problemas identificados,,Sem problemas identificados,Pendente,04/06/2024 10:24,"[""C:\\Sistema InteGS\\static\\uploads\\511625919.jpg""]"
114,Jad Log,Manutenção,Sem custo,GS 419 (LoRa),Termo branco,511626194,Sem problemas identificados,,Sem problemas identificados,Pendente,04/06/2024 10:25,"[""C:\\Sistema InteGS\\static\\uploads\\511626194.jpg""]"
115,Jad Log,Manutenção,Com custo,GS 419 (LoRa),Termo branco,511693221,Antena LoRa danificada,,Antena LoRa danificada,Pendente,04/06/2024 10:26,"[""C:\\Sistema InteGS\\static\\uploads\\511693221.jpg""]"
116,Jad Log,Manutenção,Com custo,GS 419 (LoRa),Termo branco,511693226,Botão de acionamento danificado,,Botão de acionamento danificado,Pendente,04/06/2024 10:27,"[""C:\\Sistema InteGS\\static\\uploads\\511693226.jpg"", ""C:\\Sistema InteGS\\static\\uploads\\511693226..jpg""]"
